"ASN","abuser_score","abuser_rank","active","type","Entity"
"24142","0","Very Low","False","","CN | Shanghai Bennalong Network Technology Co.,LTD"
"24220","0","Very Low","False","","Hostcentral"
"24428","0","Very Low","False","","CN | Beijing Founder Broadband Network Technology Co.,Ltd"
"24549","0","Very Low","False","","Pacificnet Hosting Ltd"
"24931","0","Very Low","False","","DediPower Managed Hosting Limited"
"25128","0","Very Low","False","","Hostway Deutschland GmbH"
"25542","0","Very Low","False","","Amsterdam"
"25897","0","Very Low","False","","SERVERBEACH - Cogeco Peer 1 (USA) Inc., US"
"25926","0","Very Low","False","","HostUS"
"26044","0","Very Low","False","","US | DEDIPRO - Dedicated Professionals, LLC"
"26484","0","Very Low","False","","HOSTSPACE NETWORKS LLC"
"26754","0","Very Low","False","","ZA | SPIDD-AFRICA"
"27524","0","Very Low","False","isp","OCTALION INC."
"27846","0","Very Low","False","","AR | DOS MONOS S.A."
"28092","0","Very Low","False","","PA | Panama Hosting Technologies,PA"
"28490","0","Very Low","False","","US | TELEVISION POR CABLE DEL NORTE DE SONORA S.A. DE C.V.,MX"
"29073","0","Very Low","False","","QUASINETWORKS, NL"
"29354","0","Very Low","False","","PCE-DE-DUS - PCE-NET GmbH, DE"
"29791","0","Very Low","False","","US | AS-INTERNAP"
"29812","0","Very Low","False","","US | ONEZERO - One Zero Hosting Inc., US"
"30137","0","Very Low","False","","US | SEA-BROADBAND - Sea Broadband, LLC"
"30152","0","Very Low","False","","Beyond Hosting, LLC"
"30186","0","Very Low","False","","US | ROSS - Ross Technology Inc., US"
"30235","0","Very Low","False","","Twinservers Hosting Solutions Inc."
"30496","0","Very Low","False","","TierPoint, LLC"
"30693","0","Very Low","False","","SERVERHUB-PHOENIX - Eonix Corporation, US"
"30968","0","Very Low","False","","OOO National Telecommunications"
"31240","0","Very Low","False","","JSC Hosting Telesystems autonomous system"
"31698","0","Very Low","False","","AS Number for WebHost.ie Ltd"
"31797","0","Very Low","False","","US | Galaxyvisions Inc"
"31815","0","Very Low","False","","Media Temple, Inc."
"32087","0","Very Low","False","","DEDICATED-HOSTING-BIZ-INC - DEDICATED-HOSTING.BIZ INC, US"
"32177","0","Very Low","False","","US | XEEX-COMMUNICATIONS"
"32275","0","Very Low","False","","Unified Webhosting, LLC"
"32311","0","Very Low","False","","US | JKS-ASN - JKS Media, LLC"
"32714","0","Very Low","False","","ZA | Compute Corporate Technology Solutions"
"32911","0","Very Low","False","","DediPower Managed Hosting"
"32931","0","Very Low","False","","Peaktera"
"32959","0","Very Low","False","","US | LITEUP - LiteUp, Inc., US"
"33251","0","Very Low","False","","Windstream Hosted Solutions, LLC"
"33260","0","Very Low","False","","Hostasaurus, Inc."
"33330","0","Very Low","False","","CLOUDRADIUM-ASN - CloudRadium L.L.C, US"
"33475","0","Very Low","False","","US | RSN-1 - RockSolid Network, Inc."
"33517","0","Very Low","False","","Oracle Corporation"
"33532","0","Very Low","False","","US | VOYAGETECHAS - Voyage Technologies, US"
"33552","0","Very Low","False","","Fluid Hosting LLC"
"33688","0","Very Low","False","","SE | SUMMITEIS-AS - SummitEIS"
"33785","0","Very Low","False","","CITYNET, EG"
"33891","0","Very Low","False","","CORE-BACKBONE, DE"
"34109","0","Very Low","False","","DE | AS34109 CB3ROB Ltd."
"34649","0","Very Low","False","hosting","HOST365 LIMITED"
"34991","0","Very Low","False","","BG | WNS-AS, BG"
"35017","0","Very Low","False","","SWIFTWAY-AS Netherlands, GB"
"35555","0","Very Low","False","","RU | CrexFexPex-SecureRussia"
"35662","0","Very Low","False","","REDSTATION European Network, GB"
"35913","0","Very Low","False","","DediPath"
"35914","0","Very Low","False","","FireHost, Inc."
"36024","0","Very Low","False","","COLO4-CO - Colo4, LLC, US"
"36887","0","Very Low","False","","DOPC-AS, NG"
"37135","0","Very Low","False","","MZ | tropicalweb-as, MZ"
"37268","0","Very Low","False","","NG | E M West Africa, Lagos, Nigeria"
"37377","0","Very Low","False","","Futurecom, NG"
"37643","0","Very Low","False","","Ambion-AS, NG"
"37692","0","Very Low","False","","NetStack-AS, ZA"
"37775","0","Very Low","False","","ZA | DJIX-PEERING-AS, DJ"
"37962","0","Very Low","False","","SG | CNNIC-SGATHER-AP Beijing Sgather Telecom Engineering Co.Ltd.,CN"
"38226","0","Very Low","False","","Online Stock Trading Company"
"38279","0","Very Low","False","","IOMNET-AS ISP/Hosting service Provider Manila"
"40446","0","Very Low","False","","CN | -Reserved AS-, ZZ"
"40529","0","Very Low","False","","US | CORBIXNETWORKS - Moxie Communications, Inc., CA"
"40665","0","Very Low","False","","US | SPCTR - SPECTRE NETWORKS LTD, US"
"40775","0","Very Low","False","","US | WIRELESSASPAS1 - Wirelessasperations, LLC,US"
"41011","0","Very Low","False","","RO | Ch-net S.r.l."
"41665","0","Very Low","False","hosting","Tehnologii Budushego LLC"
"42210","0","Very Low","False","","Host Virtual, Inc"
"42229","0","Very Low","False","","PT | EBT-AS, PT"
"42311","0","Very Low","False","","PGHOSTING-DRESDEN-BACKBONE"
"42400","0","Very Low","False","","Multihost IT AS"
"42418","0","Very Low","False","","Hostnordic A/S"
"42457","0","Very Low","False","","ES | JOHNBART SOFTWARE & MUSIC S.L"
"42462","0","Very Low","False","","ES | Moneyback, S.L."
"42602","0","Very Low","False","","UA | KING-TRANS-AS, UA"
"42694","0","Very Low","False","isp","Uplink SRL"
"42994","0","Very Low","False","","Rachamim Aviel Twito trading as A.B INTERNET SOLUTIONS"
"43043","0","Very Low","False","hosting","aurologic GmbH"
"43146","0","Very Low","False","","Agava ltd, RU"
"43147","0","Very Low","False","","UA | GALAXY, BG"
"43198","0","Very Low","False","","Outsourcery Hosting LTD"
"43554","0","Very Low","False","","UA | Cifrovye Dispetcherskie Sistemy"
"43620","0","Very Low","False","","Syan Limited Hosting"
"43659","0","Very Low","False","","DE | Cloud Computing Ltd."
"43945","0","Very Low","False",""," | Netstyle A. Ltd"
"44204","0","Very Low","False","","GB | FX-MEDIA-AS , RO"
"44220","0","Very Low","False","","Parfumuri Femei.com SRL"
"44414","0","Very Low","False","","RO | SC Holland Toner SRL"
"44520","0","Very Low","False","","RO | Multihands SRL"
"44685","0","Very Low","False","","US | Patron Technology Persia Ltd"
"44750","0","Very Low","False","","UA | ATOMOHOST-AS ATOMOHOST-DC1, UA"
"44853","0","Very Low","False","","MD | TELEHOST, MD"
"45031","0","Very Low","False","","IPv4 & IPv6 DUS1"
"45052","0","Very Low","False","","RO | JONY-GLOBAL-GSM-SRL-AS Str. Tatulesti 5, RO"
"45328","0","Very Low","False","","NIPA TECHNOLOGY CO., LTD"
"45429","0","Very Low","False","","UNKNOWN"
"45486","0","Very Low","False","","HostCorp Internet"
"45569","0","Very Low","False","","US | XEEX-AS-AP Xeex Communication,IN"
"45693","0","Very Low","False","","INDIAGAMES TRANSIT AS Content hosting serivce India"
"46176","0","Very Low","False","","Komputer King LLC"
"46260","0","Very Low","False","","MEDHOST, Inc."
"46284","0","Very Low","False","","GB | FHCC-NETWORK - IFREEDOM DIRECT CORPORATION"
"46370","0","Very Low","False","","US | GRANDWEB - Grand Web Solutions, Inc., US"
"46816","0","Very Low","False","","DSNETWORKS-001 - DirectSpace Networks, LLC., US"
"46873","0","Very Low","False","","Host Color"
"46931","0","Very Low","False","","US | COUGARCOMM - Cougar Communications,US"
"46945","0","Very Low","False","","Elite Hosts, Inc."
"47161","0","Very Low","False","","KosmoHost IT Technologies LTD"
"47500","0","Very Low","False","","MD | I-INVEST, MD"
"47598","0","Very Low","False","","UA | KHTEL-AS, UA"
"47602","0","Very Low","False","","RS | PROFISOL-AS, RO"
"47920","0","Very Low","False","","UA | COMREC, UA"
"48028","0","Very Low","False","","US | HAXXR-GAMES, GB"
"48066","0","Very Low","False","","RU | MOBILESTROYPROEKTAS, RU"
"48080","0","Very Low","False","","ORG-DP125-RIPE"
